Subject Area,Presentation Table,Presentation Column,Expression - Presentation Column,Description - Presentation Column,Business Model,Derived logical table,Derived logical column,Description - Derived Logical Column,Expression,Logical Table,Logical Column,Description - Logical Column,Logical Table Source,Expression,Initialization Block,Variable,Database,Physical Catalog,Physical Schema,Physical Table,Alias,Physical Column,Description - Physical Column
OFSAA,FSI_D_CASA,Account Open Date,,,OFSAA,,,,,Fsi D Casa,Account Open Date,,FSI_D_CASA,OFSAA."".OFSEPM.FSI_D_CASA.ACCOUNT_OPEN_DATE,,,OFSAA,,OFSEPM,FSI_D_CASA,,ACCOUNT_OPEN_DATE,
OFSAA,FSI_D_CASA,Accrual Basis Cd,,,OFSAA,,,,,Fsi D Casa,Accrual Basis Cd,,FSI_D_CASA,OFSAA."".OFSEPM.FSI_D_CASA.ACCRUAL_BASIS_CD,,,OFSAA,,OFSEPM,FSI_D_CASA,,ACCRUAL_BASIS_CD,
OFSAA,FSI_D_CASA,Accrued Gross Amt,,,OFSAA,,,,,Fsi D Casa,Accrued Gross Amt,,FSI_D_CASA,OFSAA."".OFSEPM.FSI_D_CASA.ACCRUED_GROSS_AMT,,,OFSAA,,OFSEPM,FSI_D_CASA,,ACCRUED_GROSS_AMT,
OFSAA,FSI_D_CASA,Accrued Interest,,,OFSAA,,,,,Fsi D Casa,Accrued Interest,,FSI_D_CASA,OFSAA."".OFSEPM.FSI_D_CASA.ACCRUED_INTEREST,,,OFSAA,,OFSEPM,FSI_D_CASA,,ACCRUED_INTEREST,
OFSAA,FSI_D_CASA,Accrued Transfer Amt,,,OFSAA,,,,,Fsi D Casa,Accrued Transfer Amt,,FSI_D_CASA,OFSAA."".OFSEPM.FSI_D_CASA.ACCRUED_TRANSFER_AMT,,,OFSAA,,OFSEPM,FSI_D_CASA,,ACCRUED_TRANSFER_AMT,
OFSAA,FSI_D_CASA,Adj Effective Date,,,OFSAA,,,,,Fsi D Casa,Adj Effective Date,,FSI_D_CASA,OFSAA."".OFSEPM.FSI_D_CASA.ADJ_EFFECTIVE_DATE,,,OFSAA,,OFSEPM,FSI_D_CASA,,ADJ_EFFECTIVE_DATE,
OFSAA,FSI_D_CASA,Adjustable Type Cd,,,OFSAA,,,,,Fsi D Casa,Adjustable Type Cd,,FSI_D_CASA,OFSAA."".OFSEPM.FSI_D_CASA.ADJUSTABLE_TYPE_CD,,,OFSAA,,OFSEPM,FSI_D_CASA,,ADJUSTABLE_TYPE_CD,
OFSAA,FSI_D_CASA,All In Tp Rate,,,OFSAA,,,,,Fsi D Casa,All In Tp Rate,,FSI_D_CASA,OFSAA."".OFSEPM.FSI_D_CASA.ALL_IN_TP_RATE,,,OFSAA,,OFSEPM,FSI_D_CASA,,ALL_IN_TP_RATE,
OFSAA,FSI_D_CASA,Allocated Equity,,,OFSAA,,,,,Fsi D Casa,Allocated Equity,,FSI_D_CASA,OFSAA."".OFSEPM.FSI_D_CASA.ALLOCATED_EQUITY,,,OFSAA,,OFSEPM,FSI_D_CASA,,ALLOCATED_EQUITY,
OFSAA,FSI_D_CASA,Amort Disc Prem Chg Cr,,,OFSAA,,,,,Fsi D Casa,Amort Disc Prem Chg Cr,,FSI_D_CASA,OFSAA."".OFSEPM.FSI_D_CASA.AMORT_DISC_PREM_CHG_CR,,,OFSAA,,OFSEPM,FSI_D_CASA,,AMORT_DISC_PREM_CHG_CR,
OFSAA,FSI_D_CASA,Amort Meth Pdfc Cd,,,OFSAA,,,,,Fsi D Casa,Amort Meth Pdfc Cd,,FSI_D_CASA,OFSAA."".OFSEPM.FSI_D_CASA.AMORT_METH_PDFC_CD,,,OFSAA,,OFSEPM,FSI_D_CASA,,AMORT_METH_PDFC_CD,
